"decimalLongitude","decimalLatitude"
-123.848,48.049
-123.85,47.47
-123.85,44.03
-123.85,44.02
-123.855,47.966
-123.86,47.97
-123.86,47.34
-123.86,47.29
-123.86,44.45
-123.86,44.03
-123.862,47.46
-123.866,43.273
-123.868,43.308
-123.87,47.59
-123.87,47.47
-123.87,47.45
-123.87,43.64
-123.88,47.87
-123.88,46.14
-123.88,43.63
-123.88,42.99
-123.89,47.42
-123.89,47.41
-123.89,44.05
-123.9,47.13
-123.9,44.41
-123.9,43.65
-123.91,47.87
-123.91,45.04
-123.91,43.65
-123.91,43.04
-123.92,47.48
-123.92,44.37
-123.92,43.23
-123.93,47.86
-123.93,45.96
-123.93,43.48
-123.94,47.86
-123.94,45.96
-123.94,44.44
-123.95,47.92
-123.95,43.22
-123.95,43.21
-123.96,48.05
-123.96,47.23
-123.96,44.83
-123.96,44.81
-123.96,44.21
-123.96,44.19
-123.96,43.68
-123.97,49.07
-123.97,47.81
-123.97,44.21
-123.98,49.22
-123.98,49.2
-123.98,47.85
-123.98,47.83
-123.983,47.797
-123.99,49.17
-123.99,47.83
-123.99,46.34
-123.99,44.21
-124,44.3
-124.01,49.23
-124.01,47.58
-124.01,44.21
-124.01,43.77
-124.018,44.244
-124.02,44.22
-124.03,44.36
-124.03,44.22
-124.04,47.801
-124.04,44.22
-124.05,48.82
-124.05,48.42
-124.05,44.15
-124.06,48.81
-124.06,47.81
-124.06,44.22
-124.07,44.13
-124.07,43.36
-124.074,42.887
-124.09,48.44
-124.09,47.81
-124.09,43.88
-124.097,47.809
-124.1,49.24
-124.1,49.2
-124.1,44.01
-124.1,43.79
-124.1,43.7
-124.11,49.24
-124.11,48.77
-124.115,48.081
-124.119,47.679
-124.12,48.07
-124.13,47.84
-124.14,48.06
-124.15,48.45
-124.16,47.82
-124.17,48.87
-124.19,47.89
-124.19,47.82
-124.2,47.95
-124.2,47.82
-124.22,43.37
-124.22,43.15
-124.24,43.14
-124.25,47.81
-124.25,43.18
-124.26,47.95
-124.26,47.94
-124.27,49.3
-124.27,49.29
-124.27,47.94
-124.28,47.96
-124.29,47.96
-124.29,47.95
-124.29,47.94
-124.29,43.1
-124.3,48.5
-124.3,47.96
-124.31,48.04
-124.31,47.95
-124.32,48.86
-124.35,49.25
-124.35,49.24
-124.39,47.95
-124.39,47.96
-124.44,48.62
-124.49,47.95
-124.55,49.38
-124.55,49.32
-124.58,49.28
-124.6,49.22
-124.64,48.65
-124.64,48.36
-124.65,48.67
-124.66,49.29
-124.67,49.29
-124.69,48.67
-124.69,48.66
-124.7,48.67
-124.7,48.66
-124.75,49.35
-124.76,49.35
-124.8,49.24
-124.89,49.58
-124.89,48.94
-124.9,49.69
-124.98,49.76
-125.03,48.88
-125.04,49.65
-125.08,49.75
-125.1,49.85
-125.12,48.81
-125.2,49.29
-125.23,49.98
-125.5,49.5
-125.52,49.63
-125.52,49.04
-125.53,49.2
-125.56,49.02
-125.57,49
-125.58,49
-125.6,49
-125.63,49.02
-125.67,49.14
-125.68,49.04
-125.75,49.07
-125.83,49.59
-126.42,49.8
-127.37,50.03
-127.45,50.38
-127.65,50.53
-127.75,50.17
